Scenario,Tasks,Agent_Cost,Optimal_Policy,Status,Time_sec
Tiny_Graph,5,15.2515,"[1, 1, 1, 1, 1]",Success,20.41
Small_Graph,7,20.172,"[1, 1, 1, 1, 1, 1, 1]",Success,17.39
Medium_Graph,10,33.6115,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,20.24
Large_Graph,12,43.0918,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,21.06
Sparse_Dependencies,8,24.3698,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,22.92
Dense_Dependencies,8,29.291,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,19.75
Pipeline_Structure,8,15.9715,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.68
Parallel_Structure,8,20.1703,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,19.14
Compute_Heavy,8,25.6903,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.1
Data_Heavy,8,29.652,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,20.21
High_Bandwidth,8,27.732,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.49
Low_Bandwidth,8,29.1718,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.02
Powerful_Cloud,8,29.2915,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.25
Weak_Cloud,8,23.7713,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,21.76
No_Remote_Nodes,6,127.056,"[0, 0, 0, 0, 0, 0]",Success,16.51
All_Cloud_Nodes,6,20.7706,"[1, 1, 1, 1, 1, 1]",Success,21.1
Stress_Test_Huge,20,63.6118,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,19.44
