Scenario,Tasks,Agent_Cost,Optimal_Policy,Status,Time_sec
Tiny_Graph,5,15.2515,"[1, 1, 1, 1, 1]",Success,29.5
Small_Graph,7,20.172,"[1, 1, 1, 1, 1, 1, 1]",Success,30.26
Medium_Graph,10,33.6115,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,28.7
Large_Graph,12,43.0918,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,32.31
Sparse_Dependencies,8,24.3698,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,28.19
Dense_Dependencies,8,29.291,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,36.11
Pipeline_Structure,8,15.9715,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,34.32
Parallel_Structure,8,20.1703,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,27.0
Compute_Heavy,8,25.6903,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,27.75
Data_Heavy,8,29.652,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,26.72
High_Bandwidth,8,27.732,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,28.19
Low_Bandwidth,8,29.1718,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,29.69
Powerful_Cloud,8,29.2915,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,31.14
Weak_Cloud,8,23.7713,"[1, 1, 1, 1, 1, 1, 1, 1]",Success,27.43
No_Remote_Nodes,6,127.056,"[0, 0, 0, 0, 0, 0]",Success,23.3
All_Cloud_Nodes,6,20.7706,"[1, 1, 1, 1, 1, 1]",Success,28.08
Stress_Test_Huge,20,63.6118,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Success,23.71
